EmployeeID,Department,Gender,Age,TenureYears,AnnualSalary,SatisfactionScore,PerformanceRating,OverTime,WorkFromHome,Education,Attrition
EMP9108,Marketing,Female,53,4.0,1022000.0,2,1,No,No,Bachelor's,Yes
EMP9109,Engineering,Female,30,9.1,1385000.0,3,1,Yes,No,Master's,Yes
EMP9110,HR,Female,23,12.7,945000.0,2,3,No,No,Bachelor's,No
EMP9111,Sales,Male,39,9.1,840000.0,3,2,Yes,No,PhD,No
EMP9112,HR,Female,23,12.7,2182000.0,4,1,Yes,No,Master's,Yes
EMP9113,Finance,Female,50,7.3,2068000.0,3,2,No,Yes,Master's,Yes
EMP9114,Sales,Female,51,0.4,1026000.0,2,5,No,Yes,Master's,Yes
EMP9115,Marketing,Male,36,8.5,1280000.0,5,1,No,Yes,Master's,No
EMP9116,HR,Male,51,12.3,1709000.0,4,5,Yes,No,Diploma,No
EMP9117,Sales,Male,27,4.9,1293000.0,2,1,No,No,Bachelor's,No
EMP9118,HR,Male,53,0.5,1351000.0,1,1,Yes,No,Master's,Yes
EMP9119,Operations,Male,40,0.6,1768000.0,3,3,No,No,Bachelor's,No
EMP9120,Engineering,Female,31,10.6,1143000.0,4,2,Yes,No,Master's,No
EMP9121,Finance,Female,56,13.1,675000.0,3,2,No,Yes,Bachelor's,No
EMP9122,Finance,Female,22,1.0,2065000.0,1,1,Yes,No,Bachelor's,No
EMP9123,Sales,Male,37,0.6,1909000.0,3,4,No,No,Bachelor's,No
EMP9124,Operations,Female,43,5.1,1584000.0,5,2,No,Yes,Bachelor's,No
EMP9125,Engineering,Male,21,11.4,2106000.0,3,1,No,No,Master's,No
EMP9126,Sales,Male,44,3.4,1112000.0,2,4,No,Yes,Bachelor's,No
EMP9127,HR,Male,34,6.7,1560000.0,4,1,No,No,Bachelor's,No
EMP9128,Customer Support,Female,29,3.2,1563000.0,3,2,No,No,Bachelor's,No
EMP9129,Engineering,Male,27,2.5,727000.0,3,1,No,No,Bachelor's,Yes
EMP9130,Marketing,Female,42,7.4,1940000.0,5,1,No,Yes,Master's,No
EMP9131,Finance,Female,56,13.4,1767000.0,1,5,No,Yes,Master's,No
EMP9132,Sales,Female,26,0.3,1112000.0,1,3,Yes,No,Master's,No
EMP9133,Sales,Male,25,2.0,504000.0,3,2,Yes,No,Bachelor's,No
EMP9134,HR,Female,40,0.7,1126000.0,3,3,Yes,Yes,Bachelor's,Yes
EMP9135,Sales,Male,26,11.7,1952000.0,2,5,Yes,Yes,Diploma,No
EMP9136,Sales,Male,56,1.8,497000.0,2,5,No,No,Diploma,No
EMP9137,Sales,Male,43,4.8,715000.0,4,4,No,Yes,PhD,No
EMP9138,Operations,Male,22,13.4,423000.0,2,3,No,Yes,Master's,Yes
EMP9139,Finance,Male,54,6.5,795000.0,2,3,No,Yes,Bachelor's,No
EMP9140,Engineering,Female,22,11.1,1609000.0,3,3,Yes,Yes,Bachelor's,No
EMP9141,Customer Support,Male,42,2.0,749000.0,4,4,Yes,No,Master's,No
EMP9142,Operations,Female,32,8.3,789000.0,3,3,No,Yes,Bachelor's,No
EMP9143,Finance,Female,52,8.5,1609000.0,5,1,No,No,PhD,No
EMP9144,Customer Support,Female,54,14.8,1715000.0,2,2,No,Yes,Bachelor's,No
EMP9145,Sales,Female,36,0.3,602000.0,1,4,No,No,Bachelor's,No
EMP9146,HR,Male,53,5.3,1892000.0,1,3,No,No,Diploma,Yes
EMP9147,Engineering,Male,40,6.8,1750000.0,1,2,No,Yes,Bachelor's,No
EMP9148,Customer Support,Male,21,7.2,452000.0,2,1,Yes,No,Diploma,Yes
EMP9149,HR,Male,22,1.2,1445000.0,5,1,No,No,Master's,No
EMP9150,Marketing,Male,27,5.8,417000.0,4,5,No,No,Master's,No
EMP9151,Engineering,Female,43,0.6,1704000.0,2,5,No,Yes,Bachelor's,No
EMP9152,HR,Male,50,8.9,1480000.0,1,4,Yes,No,Bachelor's,Yes
EMP9153,Sales,Male,52,2.6,1562000.0,4,5,No,No,PhD,No
EMP9154,Sales,Male,29,10.9,1502000.0,1,2,No,Yes,Bachelor's,Yes
EMP9155,Finance,Male,48,9.8,1046000.0,1,5,No,Yes,Diploma,No
EMP9156,Sales,Male,49,3.5,1835000.0,1,1,No,Yes,Master's,Yes
EMP9157,Operations,Female,48,4.2,2059000.0,1,3,No,Yes,Diploma,No
EMP9158,Customer Support,Female,22,8.1,1617000.0,2,3,Yes,No,Master's,Yes
EMP9159,Finance,Female,28,1.6,1449000.0,3,2,Yes,Yes,Master's,Yes
EMP9160,HR,Female,40,1.4,521000.0,1,3,Yes,Yes,Bachelor's,Yes
EMP9161,Sales,Male,37,12.7,327000.0,3,2,No,No,PhD,No
EMP9162,Operations,Female,54,14.8,2029000.0,5,1,Yes,Yes,Bachelor's,No
EMP9163,HR,Female,44,8.0,1548000.0,1,1,Yes,No,Bachelor's,No
EMP9164,Operations,Female,39,10.9,1817000.0,1,3,No,No,Bachelor's,Yes
EMP9165,Customer Support,Female,53,13.7,890000.0,4,5,No,No,Diploma,No
EMP9166,Finance,Male,41,12.6,1501000.0,3,4,Yes,No,Bachelor's,No
EMP9167,Engineering,Female,37,1.5,459000.0,2,5,Yes,No,Diploma,No
EMP9168,HR,Male,26,6.8,1256000.0,5,2,Yes,No,Bachelor's,No
EMP9169,HR,Male,39,7.2,430000.0,3,4,Yes,Yes,Master's,No
EMP9170,Engineering,Male,42,14.5,1209000.0,3,4,No,Yes,Bachelor's,No
EMP9171,Sales,Male,57,13.1,1048000.0,5,1,Yes,Yes,Diploma,No
EMP9172,Customer Support,Female,40,6.1,1107000.0,1,5,No,No,Bachelor's,No
EMP9173,Operations,Female,36,8.5,1653000.0,5,5,No,Yes,Bachelor's,No
EMP9174,Sales,Male,23,11.2,678000.0,5,1,Yes,No,Bachelor's,Yes
EMP9175,Finance,Male,41,7.0,378000.0,3,3,No,Yes,Bachelor's,No
EMP9176,Engineering,Female,39,13.7,513000.0,3,5,No,Yes,Bachelor's,No
EMP9177,Finance,Male,49,2.0,1109000.0,1,4,No,No,Bachelor's,Yes
EMP9178,Sales,Male,57,13.6,992000.0,5,2,No,No,Master's,Yes
EMP9179,Engineering,Male,54,4.5,655000.0,5,4,No,Yes,Master's,No
EMP9180,Engineering,Male,44,12.2,775000.0,1,2,Yes,No,Bachelor's,Yes
EMP9181,Sales,Male,50,7.8,385000.0,4,3,No,No,Bachelor's,No
EMP9182,Finance,Male,31,2.6,874000.0,4,4,No,Yes,Bachelor's,No
EMP9183,Engineering,Female,46,2.9,2001000.0,2,2,No,No,Bachelor's,No
EMP9184,HR,Female,33,2.3,1518000.0,3,1,No,No,Diploma,Yes
EMP9185,Operations,Female,45,11.1,385000.0,2,1,No,No,Master's,No
EMP9186,Sales,Male,55,6.4,836000.0,2,3,Yes,No,Bachelor's,No
EMP9187,Marketing,Female,36,9.9,2104000.0,1,5,No,No,Bachelor's,No
EMP9188,Operations,Male,40,14.3,816000.0,4,1,No,No,Bachelor's,No
EMP9189,HR,Male,28,12.7,788000.0,1,1,No,Yes,Master's,No
EMP9190,HR,Female,26,4.9,1285000.0,1,2,No,Yes,Master's,No
EMP9191,Customer Support,Male,54,10.0,1846000.0,3,4,No,No,Bachelor's,No
EMP9192,Operations,Female,30,13.5,1614000.0,5,1,No,Yes,Master's,Yes
EMP9193,Operations,Male,28,10.6,448000.0,3,2,No,Yes,PhD,No
EMP9194,Engineering,Male,33,13.8,1793000.0,5,3,No,No,Bachelor's,No
EMP9195,HR,Female,25,8.0,1099000.0,3,4,No,No,Master's,No
EMP9196,Sales,Male,57,5.4,443000.0,3,2,Yes,Yes,Bachelor's,No
EMP9197,Marketing,Male,36,6.9,2027000.0,5,2,No,No,Bachelor's,No
EMP9198,Marketing,Female,45,6.2,918000.0,5,5,Yes,Yes,PhD,No
EMP9199,Finance,Female,31,3.1,419000.0,4,2,Yes,Yes,Bachelor's,No
EMP9200,Operations,Female,27,7.1,1259000.0,3,3,No,No,Bachelor's,No
EMP9201,Customer Support,Male,21,11.5,1761000.0,1,2,Yes,Yes,Master's,Yes
EMP9202,Sales,Female,23,3.6,1684000.0,4,1,No,No,Master's,No
EMP9203,Operations,Female,37,14.9,1506000.0,5,2,No,No,Bachelor's,No
EMP9204,Marketing,Female,51,8.3,1451000.0,2,1,Yes,No,Bachelor's,Yes
EMP9205,Finance,Male,54,6.0,1744000.0,1,2,No,Yes,Bachelor's,No
EMP9206,Operations,Male,34,10.6,1244000.0,2,2,No,No,Master's,Yes
EMP9207,Marketing,Female,34,11.4,838000.0,2,4,Yes,Yes,Bachelor's,No
EMP9208,Engineering,Female,51,5.5,482000.0,1,2,No,No,Master's,No
EMP9209,HR,Male,36,10.4,1051000.0,2,4,No,No,Bachelor's,No
EMP9210,Customer Support,Female,28,0.7,545000.0,3,2,Yes,No,Bachelor's,No
EMP9211,Engineering,Female,46,12.2,593000.0,5,2,No,No,Bachelor's,No
EMP9212,Customer Support,Male,41,14.2,1661000.0,5,5,Yes,No,Bachelor's,No
EMP9213,Engineering,Male,27,7.2,1887000.0,5,2,No,No,Master's,No
EMP9214,Finance,Male,39,1.7,658000.0,4,1,Yes,Yes,Master's,No
EMP9215,Sales,Female,44,3.5,1259000.0,4,3,No,Yes,Bachelor's,No
EMP9216,Sales,Female,57,4.1,1723000.0,4,5,No,Yes,Bachelor's,No
EMP9217,Operations,Male,45,14.1,1401000.0,1,4,No,No,Master's,No
EMP9218,Sales,Female,30,4.4,372000.0,2,1,No,Yes,Bachelor's,No
EMP9219,Marketing,Female,22,1.2,1543000.0,1,5,No,No,Master's,No
EMP9220,Operations,Male,24,9.0,767000.0,4,4,Yes,No,Bachelor's,No
EMP9221,Operations,Female,50,4.5,1985000.0,1,4,No,Yes,Bachelor's,No
EMP9222,Marketing,Female,22,4.0,1893000.0,1,1,No,No,Master's,Yes
EMP9223,Marketing,Female,53,9.2,1349000.0,3,4,No,No,Master's,No
EMP9224,Engineering,Female,45,8.0,920000.0,2,5,Yes,No,Master's,No
EMP9225,Customer Support,Male,36,12.1,1733000.0,1,2,No,No,Master's,No
EMP9226,Sales,Male,26,3.2,1034000.0,5,2,No,Yes,Master's,No
EMP9227,Customer Support,Female,42,9.2,2046000.0,2,5,Yes,No,Bachelor's,No
EMP9228,Customer Support,Female,26,12.6,1512000.0,1,5,No,No,Bachelor's,Yes
EMP9229,Marketing,Female,47,10.8,609000.0,1,5,Yes,No,Master's,No
EMP9230,Sales,Male,44,6.4,865000.0,5,2,Yes,Yes,Master's,No
EMP9231,Customer Support,Female,47,11.7,1960000.0,2,3,No,No,Diploma,Yes
EMP9232,Operations,Male,49,10.1,1468000.0,3,5,No,Yes,Bachelor's,No
EMP9233,Customer Support,Female,26,13.1,1952000.0,2,5,Yes,No,Master's,No
EMP9234,HR,Male,54,9.8,1981000.0,3,4,No,No,Bachelor's,No
EMP9235,Customer Support,Female,45,4.6,921000.0,5,4,No,Yes,Master's,No
EMP9236,Sales,Male,32,3.4,1406000.0,1,1,Yes,Yes,Bachelor's,No
EMP9237,Sales,Female,29,5.4,1920000.0,1,1,No,No,Bachelor's,No
EMP9238,Customer Support,Male,53,2.4,409000.0,5,1,Yes,Yes,Diploma,Yes
EMP9239,Marketing,Female,27,11.8,1695000.0,5,3,No,No,Bachelor's,No
EMP9240,Marketing,Male,36,6.7,1472000.0,1,5,No,Yes,PhD,No
EMP9241,Operations,Male,39,8.6,965000.0,1,5,No,No,Master's,Yes
EMP9242,Marketing,Female,26,9.4,991000.0,1,4,No,No,Bachelor's,No
EMP9243,Sales,Female,42,6.0,649000.0,3,2,No,No,PhD,No
EMP9244,Engineering,Female,49,3.1,496000.0,1,4,No,No,Bachelor's,No
EMP9245,Customer Support,Male,50,6.6,2174000.0,3,1,No,No,Bachelor's,No
EMP9246,Operations,Female,42,2.5,1834000.0,1,5,No,No,Bachelor's,No
EMP9247,Customer Support,Male,33,6.7,1088000.0,2,1,No,No,Bachelor's,No
EMP9248,Marketing,Male,48,11.9,1116000.0,4,3,No,No,Bachelor's,No
EMP9249,Finance,Male,55,0.8,746000.0,3,1,No,Yes,Master's,No
EMP9250,Operations,Female,30,0.9,627000.0,3,4,No,Yes,Diploma,Yes
EMP9251,Sales,Female,54,11.4,994000.0,2,5,No,Yes,Master's,No
EMP9252,Customer Support,Female,32,10.8,1225000.0,4,5,No,No,Bachelor's,No
EMP9253,Marketing,Male,40,12.9,2006000.0,3,1,No,No,Bachelor's,Yes
EMP9254,Engineering,Male,48,13.8,1419000.0,1,4,No,Yes,Diploma,No
EMP9255,Operations,Male,34,0.9,1422000.0,3,1,No,No,Bachelor's,No
EMP9256,Operations,Male,43,11.6,1374000.0,1,4,No,No,Master's,No
EMP9257,Customer Support,Female,52,3.7,1262000.0,4,2,No,No,Bachelor's,No
EMP9258,Customer Support,Female,55,14.4,1932000.0,4,4,Yes,Yes,Bachelor's,No
EMP9259,Operations,Female,53,14.1,1267000.0,5,4,No,No,Bachelor's,No
EMP9260,Engineering,Female,30,13.0,1260000.0,5,5,Yes,No,Master's,Yes
EMP9261,Marketing,Female,24,4.6,639000.0,1,5,No,Yes,Bachelor's,No
EMP9262,Marketing,Male,25,9.7,1962000.0,1,1,No,No,Bachelor's,No
EMP9263,Finance,Female,28,4.2,951000.0,1,2,No,No,Bachelor's,No
EMP9264,Customer Support,Female,49,7.2,2196000.0,3,5,No,No,Bachelor's,No
EMP9265,HR,Male,50,4.7,1554000.0,1,3,No,No,Master's,Yes
EMP9266,Operations,Male,47,7.6,1128000.0,3,3,No,Yes,Master's,No
EMP9267,Sales,Male,57,7.7,1700000.0,5,5,No,No,PhD,No
EMP9268,HR,Female,34,10.4,1134000.0,4,5,No,Yes,Master's,No
EMP9269,Operations,Female,52,12.2,2142000.0,1,1,No,Yes,Master's,No
EMP9270,Marketing,Male,44,3.1,2183000.0,1,2,No,No,Master's,No
EMP9271,Customer Support,Male,49,13.0,1614000.0,4,2,No,Yes,Master's,No
EMP9272,HR,Female,53,8.0,1253000.0,4,2,No,No,Master's,No
EMP9273,Marketing,Male,57,1.0,934000.0,1,3,Yes,No,Bachelor's,Yes
EMP9274,Engineering,Female,35,14.6,1778000.0,4,3,No,No,Master's,No
EMP9275,Customer Support,Male,46,12.4,430000.0,5,1,No,No,Bachelor's,Yes
EMP9276,HR,Female,49,3.9,1734000.0,2,5,Yes,Yes,Bachelor's,No
EMP9277,HR,Female,41,11.5,343000.0,5,3,Yes,No,Bachelor's,No
EMP9278,Operations,Female,56,9.8,1172000.0,1,1,Yes,Yes,Bachelor's,Yes
EMP9279,Engineering,Male,28,3.8,1708000.0,5,3,Yes,No,Bachelor's,No
EMP9280,HR,Female,53,11.3,1246000.0,2,3,Yes,Yes,Bachelor's,Yes
EMP9281,Operations,Male,28,0.5,2090000.0,5,2,No,Yes,PhD,No
EMP9282,HR,Female,39,12.4,1126000.0,1,1,Yes,No,Master's,Yes
EMP9283,Customer Support,Male,25,5.9,524000.0,5,5,Yes,No,Bachelor's,No
EMP9284,Sales,Female,54,6.7,983000.0,3,5,Yes,No,Bachelor's,No
EMP9285,Engineering,Male,30,11.2,561000.0,4,5,Yes,Yes,Bachelor's,No
EMP9286,Finance,Female,26,1.1,1803000.0,1,1,No,No,Bachelor's,No
EMP9287,Finance,Female,29,0.7,2141000.0,5,3,No,Yes,Bachelor's,No
EMP9288,HR,Male,43,13.2,586000.0,3,4,No,No,Bachelor's,No
EMP9289,Operations,Female,31,4.7,1157000.0,5,1,No,No,Master's,No
EMP9290,Engineering,Male,47,13.8,739000.0,2,3,No,No,Bachelor's,Yes
EMP9291,Finance,Male,55,13.8,948000.0,3,3,No,Yes,PhD,No
EMP9292,Engineering,Female,57,8.2,1378000.0,4,4,No,Yes,Bachelor's,No
EMP9293,Marketing,Male,34,7.7,592000.0,1,1,No,No,Master's,No
EMP9294,Operations,Female,28,10.0,1347000.0,2,1,Yes,No,Bachelor's,Yes
EMP9295,Finance,Female,29,11.1,891000.0,5,3,No,Yes,Master's,No
EMP9296,Operations,Female,44,9.0,1054000.0,5,5,Yes,No,Diploma,No
EMP9297,Marketing,Female,21,7.8,1249000.0,4,3,No,Yes,Master's,No
EMP9298,Customer Support,Male,26,13.7,1071000.0,3,5,No,Yes,Bachelor's,No
EMP9299,Finance,Male,54,4.3,2193000.0,1,5,Yes,No,Bachelor's,No
EMP9300,Customer Support,Male,31,0.9,1898000.0,4,1,No,No,Master's,No
EMP9301,Finance,Female,34,12.7,1172000.0,5,1,No,Yes,Bachelor's,No
EMP9302,HR,Male,28,12.0,1432000.0,1,5,Yes,Yes,Master's,No
EMP9303,Marketing,Female,51,9.6,1390000.0,5,3,No,No,Master's,No
EMP9304,Sales,Female,36,14.5,306000.0,5,2,No,No,Bachelor's,No
EMP9305,Sales,Female,48,14.6,1536000.0,3,5,Yes,Yes,Master's,Yes
EMP9306,Sales,Female,35,4.9,426000.0,5,5,No,No,Bachelor's,Yes
EMP9307,HR,Female,21,1.2,833000.0,4,4,No,Yes,Bachelor's,No
EMP9308,Sales,Male,41,8.9,953000.0,5,5,No,Yes,Bachelor's,No
EMP9309,Customer Support,Female,31,4.9,380000.0,1,2,Yes,Yes,Bachelor's,Yes
EMP9310,Engineering,Male,50,1.8,1755000.0,4,1,No,No,Bachelor's,No
EMP9311,Marketing,Male,48,4.9,498000.0,4,2,No,No,Bachelor's,No
EMP9312,Operations,Female,57,9.7,830000.0,1,5,No,No,Master's,No
EMP9313,Operations,Female,30,9.6,1805000.0,4,5,No,No,Bachelor's,No
EMP9314,Engineering,Male,54,11.1,316000.0,3,3,Yes,Yes,Master's,Yes
EMP9315,Operations,Female,52,14.5,647000.0,1,5,Yes,No,Master's,No
EMP9316,Finance,Female,32,3.2,1925000.0,5,1,Yes,No,Bachelor's,Yes
EMP9317,Engineering,Female,37,11.8,1820000.0,2,4,No,No,Bachelor's,No
EMP9318,Customer Support,Male,51,10.4,2128000.0,3,1,No,No,Master's,No
EMP9319,HR,Female,38,13.9,1007000.0,3,5,No,No,Bachelor's,No
EMP9320,Engineering,Male,54,14.1,468000.0,5,4,No,No,Bachelor's,No
EMP9321,Sales,Female,24,2.7,534000.0,5,4,No,No,Master's,No
EMP9322,Operations,Male,53,5.3,1891000.0,1,5,No,Yes,Bachelor's,No
EMP9323,Finance,Female,32,10.7,1428000.0,5,3,Yes,Yes,Diploma,No
EMP9324,Finance,Female,51,10.8,444000.0,4,5,Yes,Yes,Master's,No
